0,0,0,0
0.2,-9.77279282985323e-25,0,-1.63750667254876e-11
0.4,-5.3380584690912e-22,0,-1.30997632219913e-10
0.6,-1.10269257178207e-21,0,-4.42112992152891e-10
0.8,-3.65248625227985e-21,0,-1.04794955183051e-09
1,-1.47568846376938e-20,0,-2.04671125828091e-09
1.2,-4.56184344282286e-20,0,-3.53657760025433e-09
1.4,-1.20636749586662e-19,0,-5.61569044259914e-09
1.6,-2.66455227566396e-19,0,-8.38215933100412e-09
1.8,-5.25938257059042e-19,0,-1.19340468622464e-08
2,-9.75049600145921e-19,0,-1.63693488737365e-08
2.2,-1.72285239229806e-18,0,-2.1785994443518e-08
2.4,-2.9115091423762e-18,0,-2.82818458902677e-08
2.6,-4.71628173263079e-18,0,-3.59546987732957e-08
2.8,-7.35985455182277e-18,0,-4.49022694819785e-08
3,-1.11328183190768e-17,0,-5.52221736228056e-08
3.2,-1.638645572671e-17,0,-6.70119366257328e-08
3.4,-2.35629216400139e-17,0,-8.03689726108569e-08
3.6,-3.31959825409856e-17,0,-9.53905838071745e-08
3.8,-4.59110165283274e-17,0,-1.12173960552582e-07
4,-6.24428511625961e-17,0,-1.30816171224182e-07
4.2,-8.36547985961875e-17,0,-1.51414149867868e-07
4.4,-1.10548479860046e-16,0,-1.74064693149252e-07
4.6,-1.4428997925789e-16,0,-1.98864447381278e-07
4.8,-1.86209971372013e-16,0,-2.25909908456961e-07
5,-2.37810836623079e-16,0,-2.55297418793327e-07
5.2,-3.00800187699813e-16,0,-2.87123152065759e-07
5.4,-3.77095735042519e-16,0,-3.21483111553512e-07
5.6,-4.68861717369218e-16,0,-3.58473116060109e-07
5.8,-5.78512048602262e-16,0,-3.98188798632079e-07
6,-7.08717254943098e-16,0,-4.40725604081122e-07
6.2,-8.624409237509e-16,0,-4.86178775382668e-07
6.4,-1.04294985902453e-15,0,-5.34643350336827e-07
6.6,-1.25385293699117e-15,0,-5.86214148782098e-07
6.8,-1.4991045698049e-15,0,-6.4098577141015e-07
7,-1.78301787439928e-15,0,-6.99052595665368e-07
7.2,-2.11030113132381e-15,0,-7.60508763951373e-07
7.4,-2.48607717975026e-15,0,-8.25448178178224e-07
7.6,-2.91591864852534e-15,0,-8.93964489468317e-07
7.8,-3.40584925618676e-15,0,-9.66151097774213e-07
8,-3.9623741670414e-15,0,-1.04210114340105e-06
8.2,-4.59250404714699e-15,0,-1.12190750004734e-06
8.4,-5.30379532358861e-15,0,-1.20566276443323e-06
8.6,-6.10436851281235e-15,0,-1.29345925144279e-06
8.8,-7.00291592614511e-15,0,-1.38538899218962e-06
9,-8.00874475230745e-15,0,-1.48154372295492e-06
9.2,-9.13179979642135e-15,0,-1.5820148796533e-06
9.4,-1.03827067386562e-14,0,-1.68689358745903e-06
9.6,-1.17727761441157e-14,0,-1.79627065983387e-06
9.8,-1.33140372439133e-14,0,-1.91023659062381e-06
10,-1.50192666426992e-14,0,-2.02888154724175e-06
10.2,-1.69020346780871e-14,0,-2.1522953604004e-06
10.4,-1.89767218581875e-14,0,-2.28056752040983e-06
10.6,-2.12585353615196e-14,0,-2.41378717358795e-06
10.8,-2.3763553326997e-14,0,-2.55204311247675e-06
11,-2.6508758912277e-14,0,-2.6954237687274e-06
11.2,-2.95120754481149e-14,0,-2.84401720569165e-06
11.4,-3.27923741677417e-14,0,-2.99791111683315e-06
11.6,-3.63695206498093e-14,0,-3.15719281608956e-06
11.8,-4.02644057696513e-14,0,-3.32194923161957e-06
12,-4.44989914548753e-14,0,-3.49226689667958e-06
12.2,-4.90963174671276e-14,0,-3.66823194827561e-06
12.4,-5.4080543866866e-14,0,-3.84993011879215e-06
12.6,-5.9476983603641e-14,0,-4.03744672961532e-06
12.8,-6.53121527261277e-14,0,-4.2308666815523e-06
13,-7.16137800116866e-14,0,-4.43027445298337e-06
13.2,-7.84108444250504e-14,0,-4.63575409277841e-06
13.4,-8.57336106332639e-14,0,-4.84738921357768e-06
13.6,-9.36136801437311e-14,0,-5.06526298236702e-06
13.8,-1.0208400476318e-13,0,-5.28945811798219e-06
14,-1.11178920085619e-13,0,-5.52005688498143e-06
14.2,-1.20934183632538e-13,0,-5.75714108664955e-06
14.4,-1.31387025445953e-13,0,-6.00079205592073e-06
14.6,-1.42576164535797e-13,0,-6.25109065241374e-06
14.8,-1.54541840246998e-13,0,-6.50811725683518e-06
15,-1.67325851878904e-13,0,-6.77195176389554e-06
15.2,-1.80971608639472e-13,0,-7.04267357352301e-06
15.4,-1.95524147298607e-13,0,-7.32036158774836e-06
15.6,-2.1103016340262e-13,0,-7.60509420523523e-06
15.8,-2.27538051057055e-13,0,-7.89694931430203e-06
16,-2.45097952559081e-13,0,-8.19600428430738e-06
16.2,-2.63761775376238e-13,0,-8.50233596269697e-06
16.4,-2.83583224847076e-13,0,-8.81602066933851e-06
16.6,-3.04617843207307e-13,0,-9.13713418976109e-06
16.8,-3.26923058738314e-13,0,-9.46575176668155e-06
17,-3.50558200781171e-13,0,-9.801948097413e-06
17.2,-3.75584534992128e-13,0,-1.01457973277873e-05
17.4,-4.02065301306276e-13,0,-1.04973730456127e-05
17.6,-4.30065761500798e-13,0,-1.08567482724734e-05
17.8,-4.59653211984751e-13,0,-1.12239954615229e-05
18,-4.9089702200572e-13,0,-1.15991864908881e-05
18.2,-5.23868670694282e-13,0,-1.19823926572651e-05
18.4,-5.58641791081829e-13,0,-1.23736846682774e-05
18.6,-5.95292181630809e-13,0,-1.27731326404705e-05
18.8,-6.33897846979154e-13,0,-1.31808060922202e-05
