0,-0
0.2,-1.46463009649345e-11
0.4,-1.17167812464564e-10
0.6,-3.95437774522178e-10
0.8,-9.37314319964754e-10
1,-1.83063370547636e-09
1.2,-3.16321031159819e-09
1.4,-5.02282439552634e-09
1.6,-7.49722805395511e-09
1.8,-1.06741318553774e-08
2,-1.46411861493686e-08
2.2,-1.94859810665859e-08
2.4,-2.52960465187695e-08
2.6,-3.21588521987411e-08
2.8,-4.01618003130091e-08
3,-4.93921998350908e-08
3.2,-5.9937281002988e-08
3.4,-7.18841744855337e-08
3.6,-8.53199094908277e-08
3.8,-1.00331413766236e-07
4,-1.17005509387817e-07
4.2,-1.35428895571398e-07
4.4,-1.55688151446721e-07
4.6,-1.77869720819329e-07
4.8,-2.02059910881628e-07
5,-2.28344891881135e-07
5.2,-2.56810684686555e-07
5.4,-2.87543157577007e-07
5.6,-3.20628015077127e-07
5.8,-3.56150792886334e-07
6,-3.94196857817604e-07
6.2,-4.34851398500719e-07
6.4,-4.7819941951591e-07
6.6,-5.24325732128801e-07
6.8,-5.73314948356445e-07
7,-6.25251480745677e-07
7.2,-6.80219532858836e-07
7.4,-7.38303094346599e-07
7.6,-7.99585930626067e-07
7.8,-8.64151578776617e-07
8,-9.32083346426844e-07
8.2,-1.00346430122825e-06
8.4,-1.07837726679825e-06
8.6,-1.15690481202324e-06
8.8,-1.239129249452e-06
9,-1.325132631407e-06
9.2,-1.41499674056848e-06
9.4,-1.50880308405961e-06
9.6,-1.60663288571917e-06
9.8,-1.7085670854872e-06
10,-1.81468633073445e-06
10.2,-1.92507097117133e-06
10.4,-2.03980104902641e-06
10.6,-2.15895629689458e-06
10.8,-2.2826161336111e-06
11,-2.41085965587636e-06
11.2,-2.54376563146148e-06
11.4,-2.68141249305939e-06
11.6,-2.82387833689471e-06
11.8,-2.9712409138577e-06
12,-3.12357762417758e-06
12.2,-3.28096550893935e-06
12.4,-3.4434812490183e-06
12.6,-3.6112011578417e-06
12.8,-3.78420117574975e-06
13,-3.96255686112248e-06
13.2,-4.14634338832434e-06
13.4,-4.33563554247699e-06
13.6,-4.53050771286342e-06
13.8,-4.73103388486832e-06
14,-4.9372876364038e-06
14.2,-5.14934213444023e-06
14.4,-5.36727012738567e-06
14.6,-5.59114393828748e-06
14.8,-5.82103545985921e-06
15,-6.05701615200249e-06
15.2,-6.2991570339752e-06
15.4,-6.54752867819106e-06
15.6,-6.80220120452237e-06
15.8,-7.06324427825217e-06
16,-7.33072710238967e-06
16.2,-7.60471841170762e-06
16.4,-7.88528646679002e-06
16.6,-8.1724990521201e-06
16.8,-8.46642346861656e-06
17,-8.76712652776018e-06
17.2,-9.0746745456974e-06
17.4,-9.38913334130104e-06
17.6,-9.71056822890846e-06
17.8,-1.00390440124632e-05
18,-1.03746249799133e-05
18.2,-1.07173749011135e-05
18.4,-1.1067357020754e-05
18.6,-1.14246340524551e-05
18.8,-1.17892681736752e-05
19,-1.21613210232878e-05
19.2,-1.25408536947634e-05
19.4,-1.29279267301312e-05
19.6,-1.33226001156127e-05
19.8,-1.37249332786185e-05
20,-1.41349850813947e-05
20.2,-1.45528138146901e-05
20.4,-1.49784771943255e-05
20.6,-1.54120323573644e-05
20.8,-1.58535358563887e-05
21,-1.63030436528484e-05
21.2,-1.6760611114592e-05
21.4,-1.72262930112206e-05
21.6,-1.77001435087263e-05
21.8,-1.81822161630212e-05
22,-1.86725639180878e-05
22.2,-1.91712391006299e-05
22.4,-1.96782934148593e-05
22.6,-2.01937779367071e-05
22.8,-2.07177431120982e-05
23,-2.12502387511391e-05
23.2,-2.17913140229052e-05
23.4,-2.23410174507489e-05
23.6,-2.2899396910046e-05
23.8,-2.34664996224436e-05
24,-2.40423721504315e-05
24.2,-2.46270603940365e-05
24.4,-2.52206095873942e-05
24.6,-2.58230642936949e-05
24.8,-2.6434468399389e-05
25,-2.70548651121668e-05
25.2,-2.7684296956448e-05
25.4,-2.8322805768581e-05
25.6,-2.89704326916837e-05
25.8,-2.96272181739555e-05
26,-3.0293201963514e-05
26.2,-3.0968423103617e-05
26.4,-3.16529199288063e-05
26.6,-3.23467300624368e-05
26.8,-3.30498904117983e-05
27,-3.376243716301e-05
27.2,-3.4484405778681e-05
27.4,-3.52158309942118e-05
27.6,-3.59567468133565e-05
27.8,-3.67071865033896e-05
28,-3.74671825935135e-05
28.2,-3.82367668702984e-05
28.4,-3.90159703733264e-05
28.6,-3.98048233916154e-05
28.8,-4.06033554613818e-05
29,-4.14115953616399e-05
29.2,-4.22295711095998e-05
29.4,-4.30573099585867e-05
29.6,-4.38948383946164e-05
29.8,-4.4742182132368e-05
30,-4.5599366111007e-05
30.2,-4.64664144926797e-05
30.4,-4.73433506583483e-05
30.6,-4.82301972038337e-05
30.8,-4.91269759369777e-05
31,-5.00337078752655e-05
31.2,-5.09504132420345e-05
31.4,-5.18771114623357e-05
31.6,-5.2813821161391e-05
31.8,-5.37605601611765e-05
32,-5.4717345476825e-05
32.2,-5.5684193313389e-05
32.4,-5.66611190642157e-05
32.6,-5.76481373072773e-05
32.8,-5.86452618015527e-05
33,-5.96525054851389e-05
33.2,-6.06698804726002e-05
33.4,-6.16973980516886e-05
33.6,-6.27350686800327e-05
33.8,-6.37829019838689e-05
34,-6.48409067547317e-05
34.2,-6.59090909462866e-05
34.4,-6.69874616722248e-05
34.6,-6.80760252042206e-05
34.8,-6.91747869689616e-05
35,-7.02837515450102e-05
35.2,-7.14029226616531e-05
35.4,-7.2532303196081e-05
35.6,-7.36718951705824e-05
35.8,-7.48216997504024e-05
