0,0,0,0
0.2,-4.47010603644177e-25,0,-1.10747172535138e-11
0.4,-2.44212017416942e-22,0,-8.85962541401888e-11
0.6,-5.04427310464929e-22,0,-2.99010303768474e-10
0.8,-1.67067670867446e-21,0,-7.08753921514863e-10
1,-6.75007507576521e-21,0,-1.3842516546713e-09
1.2,-2.08672683202498e-20,0,-2.39191554244517e-09
1.4,-5.69809456476283e-20,0,-3.79813640222725e-09
1.6,-1.26360080804567e-19,0,-5.66929145927392e-09
1.8,-2.45841365672262e-19,0,-8.07173598891549e-09
2,-4.49139453301696e-19,0,-1.10717892736661e-08
2.2,-7.8684695791364e-19,0,-1.47357346032238e-08
2.4,-1.32643445489864e-18,0,-1.91298192744703e-08
2.6,-2.15225048081706e-18,0,-2.43202545914713e-08
2.8,-3.36552153339901e-18,0,-3.03732158654765e-08
3,-5.09371866806875e-18,0,-3.73548339911341e-08
3.2,-7.50346157707544e-18,0,-4.53311809524513e-08
3.4,-1.07887974958074e-17,0,-5.43682827670002e-08
3.6,-1.51927082202873e-17,0,-6.4532103781563e-08
3.8,-2.10078406414837e-17,0,-7.58885460734655e-08
4,-2.857650674531e-17,0,-8.85034494505769e-08
4.2,-3.82908556872401e-17,0,-1.02442591356928e-07
4.4,-5.06112039327045e-17,0,-1.17771676221621e-07
4.6,-6.60648008275507e-17,0,-1.34556334964065e-07
4.8,-8.52578967979878e-17,0,-1.52862120137599e-07
5,-1.08887688011238e-16,0,-1.72754499784313e-07
5.2,-1.37742316375538e-16,0,-1.94298857435053e-07
5.4,-1.72701107466833e-16,0,-2.17560492008378e-07
5.6,-2.14753478988047e-16,0,-2.42604609417009e-07
5.8,-2.65000286505231e-16,0,-2.69496321305691e-07
6,-3.24670095203338e-16,0,-2.98300639156154e-07
6.2,-3.95130706278317e-16,0,-3.29082469617373e-07
6.4,-4.77889156937121e-16,0,-3.61906614505569e-07
6.6,-5.74595341008247e-16,0,-3.96837769505414e-07
6.8,-6.87065473182695e-16,0,-4.33940515368601e-07
7,-8.17280373347147e-16,0,-4.73279318529851e-07
7.2,-9.67411130346158e-16,0,-5.14918522631413e-07
7.4,-1.13982264840776e-15,0,-5.58922347300332e-07
7.6,-1.3370738337954e-15,0,-6.05354888091267e-07
7.8,-1.5619374675103e-15,0,-6.54280110218369e-07
8,-1.81740730991581e-15,0,-7.05761846010532e-07
8.2,-2.10671821742811e-15,0,-7.59863789245062e-07
8.4,-2.43335894773428e-15,0,-8.16649491341287e-07
8.6,-2.80107215979229e-15,0,-8.76182361360553e-07
8.8,-3.21386754980922e-15,0,-9.38525662347949e-07
9,-3.67604058623889e-15,0,-1.00374250586774e-06
9.2,-4.19218442011819e-15,0,-1.07189584905338e-06
9.4,-4.76721083038801e-15,0,-1.1430484890548e-06
9.6,-5.406350360237e-15,0,-1.21726306300139e-06
9.8,-6.11516344176432e-15,0,-1.29460204519702e-06
10,-6.89956316490526e-15,0,-1.37512774119006e-06
10.2,-7.76582633928836e-15,0,-1.45890228523076e-06
10.4,-8.72061708726891e-15,0,-1.54598763456946e-06
10.6,-9.77098725908872e-15,0,-1.63644556935426e-06
10.8,-1.09243891316532e-14,0,-1.73033768967973e-06
11,-1.21886980961445e-14,0,-1.82772541016666e-06
11.2,-1.3572226976862e-14,0,-1.92866995686111e-06
11.4,-1.50837485330241e-14,0,-2.03323236218902e-06
11.6,-1.67324956867749e-14,0,-2.14147346490438e-06
11.8,-1.85281797063143e-14,0,-2.25345390614075e-06
12,-2.04810081302574e-14,0,-2.36923412540815e-06
12.2,-2.26017068651146e-14,0,-2.48887435604024e-06
12.4,-2.49015372595684e-14,0,-2.61243462159735e-06
12.6,-2.73922970383225e-14,0,-2.73997473567717e-06
12.8,-3.00863456588369e-14,0,-2.87155429670547e-06
13,-3.29966164538926e-14,0,-3.00723268539821e-06
13.2,-3.61366465524335e-14,0,-3.14706905886561e-06
13.4,-3.95205860877678e-14,0,-3.29112234877152e-06
13.6,-4.31632029558357e-14,0,-3.43945126041064e-06
13.8,-4.70799122629855e-14,0,-3.59211426692872e-06
14,-5.12867882373129e-14,0,-3.74916960704193e-06
14.2,-5.58005944546617e-14,0,-3.91067527931078e-06
14.4,-6.06387867700762e-14,0,-4.07668904157886e-06
14.6,-6.58195279469441e-14,0,-4.24726840824182e-06
14.8,-7.13617121231922e-14,0,-4.42247064562499e-06
15,-7.72849856117572e-14,0,-4.6023527682136e-06
15.2,-8.36097673817672e-14,0,-4.78697153489866e-06
15.4,-9.03572510420158e-14,0,-4.97638344862013e-06
15.6,-9.75494323391868e-14,0,-5.17064475138843e-06
15.8,-1.05209123271792e-13,0,-5.36981142173184e-06
16,-1.13359983445615e-13,0,-5.57393916915044e-06
16.2,-1.22026526259328e-13,0,-5.78308343301403e-06
16.4,-1.31234130510745e-13,0,-5.99729938052554e-06
16.6,-1.41009067705543e-13,0,-6.21664190189763e-06
16.8,-1.51378521461086e-13,0,-6.44116560700577e-06
17,-1.62370610085649e-13,0,-6.67092482147259e-06
17.2,-1.74014388978645e-13,0,-6.90597358625529e-06
17.4,-1.86339877862657e-13,0,-7.14636565295477e-06
17.6,-1.99378076190722e-13,0,-7.39215448116765e-06
17.8,-2.13160993790951e-13,0,-7.64339323327644e-06
18,-2.27721656262319e-13,0,-7.90013477352829e-06
18.2,-2.4309412005448e-13,0,-8.16243166548043e-06
18.4,-2.59313496494955e-13,0,-8.43033616791822e-06
18.6,-2.76415975257608e-13,0,-8.70390023091109e-06
18.8,-2.94438841681026e-13,0,-8.98317549289434e-06
