0,-0
0.2,-1.10747172535138e-11
0.4,-8.85962541401888e-11
0.6,-2.99010303768474e-10
0.8,-7.08753921514863e-10
1,-1.3842516546713e-09
1.2,-2.39191554244517e-09
1.4,-3.79813640222725e-09
1.6,-5.66929145927392e-09
1.8,-8.07173598891549e-09
2,-1.10717892736661e-08
2.2,-1.47357346032238e-08
2.4,-1.91298192744703e-08
2.6,-2.43202545914713e-08
2.8,-3.03732158654765e-08
3,-3.73548339911341e-08
3.2,-4.53311809524513e-08
3.4,-5.43682827670002e-08
3.6,-6.4532103781563e-08
3.8,-7.58885460734655e-08
4,-8.85034494505769e-08
4.2,-1.02442591356928e-07
4.4,-1.17771676221621e-07
4.6,-1.34556334964065e-07
4.8,-1.52862120137599e-07
5,-1.72754499784313e-07
5.2,-1.94298857435053e-07
5.4,-2.17560492008378e-07
5.6,-2.42604609417009e-07
5.8,-2.69496321305691e-07
6,-2.98300639156154e-07
6.2,-3.29082469617373e-07
6.4,-3.61906614505569e-07
6.6,-3.96837769505414e-07
6.8,-4.33940515368601e-07
7,-4.73279318529851e-07
7.2,-5.14918522631413e-07
7.4,-5.58922347300332e-07
7.6,-6.05354888091267e-07
7.8,-6.54280110218369e-07
8,-7.05761846010532e-07
8.2,-7.59863789245062e-07
8.4,-8.16649491341287e-07
8.6,-8.76182361360553e-07
8.8,-9.38525662347949e-07
9,-1.00374250586774e-06
9.2,-1.07189584905338e-06
9.4,-1.1430484890548e-06
9.6,-1.21726306300139e-06
9.8,-1.29460204519702e-06
10,-1.37512774119006e-06
10.2,-1.45890228523076e-06
10.4,-1.54598763456946e-06
10.6,-1.63644556935426e-06
10.8,-1.73033768967973e-06
11,-1.82772541016666e-06
11.2,-1.92866995686111e-06
11.4,-2.03323236218902e-06
11.6,-2.14147346490438e-06
11.8,-2.25345390614075e-06
12,-2.36923412540816e-06
12.2,-2.48887435604024e-06
12.4,-2.61243462159735e-06
12.6,-2.73997473567717e-06
12.8,-2.87155429670547e-06
13,-3.00723268539821e-06
13.2,-3.14706905886561e-06
13.4,-3.29112234877152e-06
13.6,-3.43945126041064e-06
13.8,-3.59211426692872e-06
14,-3.74916960704193e-06
14.2,-3.91067527931078e-06
14.4,-4.07668904157886e-06
14.6,-4.24726840824182e-06
14.8,-4.42247064562499e-06
15,-4.6023527682136e-06
15.2,-4.78697153489866e-06
15.4,-4.97638344862013e-06
15.6,-5.17064475138843e-06
15.8,-5.36981142173184e-06
16,-5.57393916915044e-06
16.2,-5.78308343301403e-06
16.4,-5.99729938052554e-06
16.6,-6.21664190189763e-06
16.8,-6.44116560700577e-06
17,-6.67092482147259e-06
17.2,-6.9059735862553e-06
17.4,-7.14636565295476e-06
17.6,-7.39215448116766e-06
17.8,-7.64339323327644e-06
18,-7.90013477352829e-06
18.2,-8.16243166548044e-06
18.4,-8.43033616791822e-06
18.6,-8.7039002309111e-06
18.8,-8.98317549289435e-06
19,-9.26821327985093e-06
19.2,-9.55906460056388e-06
19.4,-9.85578014386569e-06
19.6,-1.01584102741255e-05
19.8,-1.04670050307604e-05
20,-1.07816141244351e-05
20.2,-1.1102286934166e-05
20.4,-1.14290725025511e-05
20.6,-1.17620195345209e-05
20.8,-1.21011763951331e-05
21,-1.24465911056394e-05
21.2,-1.27983113397639e-05
21.4,-1.31563844210238e-05
21.6,-1.35208573217253e-05
21.8,-1.38917766585853e-05
22,-1.42691886898399e-05
22.2,-1.46531393114596e-05
22.4,-1.50436740565814e-05
22.6,-1.54408380915269e-05
22.8,-1.58446762130868e-05
23,-1.62552328442504e-05
23.2,-1.66725520335322e-05
23.4,-1.7096677451711e-05
23.6,-1.75276523889722e-05
23.8,-1.79655197506311e-05
24,-1.84103220560087e-05
24.2,-1.88621014360047e-05
24.4,-1.93208996298685e-05
24.6,-1.97867579813302e-05
24.8,-2.02597174368155e-05
25,-2.07398185438209e-05
25.2,-2.12271014472363e-05
25.4,-2.17216058861006e-05
25.6,-2.2223371191143e-05
25.8,-2.27324362836814e-05
26,-2.32488396718453e-05
26.2,-2.37726194476914e-05
26.4,-2.43038132843094e-05
26.6,-2.48424584350021e-05
26.8,-2.53885917296128e-05
27,-2.59422495718305e-05
27.2,-2.65034679360461e-05
27.4,-2.70722823666625e-05
27.6,-2.76487279746112e-05
27.8,-2.82328394347642e-05
28,-2.88246509826669e-05
28.2,-2.94241964138944e-05
28.4,-3.0031509080776e-05
28.6,-3.06466218898751e-05
28.8,-3.12695672986871e-05
29,-3.19003773150004e-05
29.2,-3.25390834938148e-05
29.4,-3.31857169348735e-05
29.6,-3.38403082793872e-05
29.8,-3.45028877093845e-05
30,-3.51734849447954e-05
30.2,-3.58521292410334e-05
30.4,-3.65388493857845e-05
30.6,-3.723367369835e-05
30.8,-3.7936630026861e-05
31,-3.86477457459124e-05
31.2,-3.93670477534461e-05
31.4,-4.00945624700944e-05
31.6,-4.08303158364928e-05
31.8,-4.15743333109708e-05
32,-4.23266398665495e-05
32.2,-4.30872599902978e-05
32.4,-4.38562176807132e-05
32.6,-4.46335364454733e-05
32.8,-4.54192392985688e-05
33,-4.62133487596771e-05
33.2,-4.70158868515906e-05
33.4,-4.78268750980297e-05
33.6,-4.86463345209324e-05
33.8,-4.9474285639844e-05
34,-5.03107484693799e-05
34.2,-5.11557425170989e-05
34.4,-5.20092867809718e-05
34.6,-5.28713997487782e-05
34.8,-5.37420993955999e-05
35,-5.46214031817497e-05
35.2,-5.55093280504456e-05
35.4,-5.64058904271931e-05
35.6,-5.73111062173181e-05
35.8,-5.82249908039439e-05
